concept_queried,id,cik,concept,label,value,numeric_value,unit,period_end,fiscal_period,fiscal_year,period_start,period_type,statement_type,is_audited,data_quality,confidence_score,accession,form_type,filing_date,sec_url
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479105,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,55488000000.0,55488000000,USD,2024-06-30,Q2,2025,2024-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-25-000062,10-Q,2025-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000062-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479102,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,28848000000.0,28848000000,USD,2024-03-31,Q1,2024,2024-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-24-000053,10-Q,2024-04-26,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000053-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479103,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,28848000000.0,28848000000,USD,2024-03-31,Q1,2025,2024-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-25-000043,10-Q,2025-04-25,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000043-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479099,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,101746000000.0,101746000000,USD,2023-12-31,FY,2023,2023-01-01,duration,CashFlowStatement,true,high,0.9,0001652044-24-000022,10-K,2024-01-31,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000022-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479100,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,101746000000.0,101746000000,USD,2023-12-31,FY,2024,2023-01-01,duration,CashFlowStatement,true,high,0.9,0001652044-25-000014,10-K,2025-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000014-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479101,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,101746000000.0,101746000000,USD,2023-12-31,FY,2025,2023-01-01,duration,CashFlowStatement,true,high,0.9,0001652044-26-000018,10-K,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-26-000018-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479097,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,82831000000.0,82831000000,USD,2023-09-30,Q3,2023,2023-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-23-000094,10-Q,2023-10-25,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-23-000094-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479098,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,82831000000.0,82831000000,USD,2023-09-30,Q3,2024,2023-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-24-000118,10-Q,2024-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000118-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479095,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,52175000000.0,52175000000,USD,2023-06-30,Q2,2023,2023-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-23-000070,10-Q,2023-07-26,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-23-000070-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479096,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,52175000000.0,52175000000,USD,2023-06-30,Q2,2024,2023-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-24-000079,10-Q,2024-07-24,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000079-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479093,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,23509000000.0,23509000000,USD,2023-03-31,Q1,2023,2023-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-23-000045,10-Q,2023-04-26,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-23-000045-index.html
us-gaap:NetCashProvidedByUsedInOperatingActivities,57479094,1652044,us-gaap:NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by (Used in) Operating Activities,23509000000.0,23509000000,USD,2023-03-31,Q1,2024,2023-01-01,duration,CashFlowStatement,false,high,0.9,0001652044-24-000053,10-Q,2024-04-26,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-24-000053-index.html
